source,reward
Story boss first clear,Epic/Legendary relic chance or Ultimate Art fragment
Elite room,Rare Invocation relic chance
Epic chest,Invocation/Ultimate relic weighted chance
Tower floor 10,Invocation relic or resonance fragment
Tower floor 25,Epic Ultimate Art seal chance
Tower floor 50,Legendary relic or hybrid shard
Tower floor 100,Guaranteed Legendary/Mythic relic
Master full Art branch,Ultimate Art fragment
Union Discipline rank 10,Ultimate Art seal eligibility
Summon Resonance milestone,Artifact evolution / stronger Echo forecast
Personal quest climax,Character-compatible signature relic chance
Creator giveaway code,Exact-once relic; never Great Covenant/Margin authorization
