templateId,familyId,family,patternId,pattern,rarity,effect,drawback,scaling,creatorPower,naturalAcquisition
MOD_WF01_SWORD_BALANCED,WF01_SWORD,Swords,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_VANGUARD,WF01_SWORD,Swords,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_WARDEN,WF01_SWORD,Swords,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_MYSTIC,WF01_SWORD,Swords,MYSTIC,Mystic-Conductor Pattern,RARE,Improved MP efficiency and compatible hybrid Art access.,Reduced physical output.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_EXPEDITION,WF01_SWORD,Swords,EXPEDITION,Expedition Pattern,RARE,"Scouting, supplies, materials, and room-resolution utility.",Slightly lower combat stats.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_RESCUE,WF01_SWORD,Swords,RESCUE,Rescue Pattern,RARE,"Protect, rescue, and retreat support; one related AP reduction per round.",Reduced solo damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_FORTUNE,WF01_SWORD,Swords,FORTUNE,Fortune Pattern,EPIC,Improves chest-quality weighting and critical opportunity.,Adds Threat when an expedition begins.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_TOWERBORN,WF01_SWORD,Swords,TOWERBORN,Towerborn Pattern,EPIC,Gains bounded power during consecutive Tower floors.,Run bonus resets on extraction.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_BOSSBREAKER,WF01_SWORD,Swords,BOSSBREAKER,Bossbreaker Pattern,EPIC,Improved performance against elites and bosses.,Slightly weaker against normal enemies.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF01_SWORD_CHRONICLE,WF01_SWORD,Swords,CHRONICLE,Chronicle Pattern,EPIC,Accelerates Art mastery and relationship growth through meaningful use.,Reduced base damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_BALANCED,WF02_GREAT_WEAPON,Great Weapons,BALANCED,Balanced Prototype,RARE,"All-round tactical package; modest offense, defense, and Forecast clarity.",No specialized peak.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_VANGUARD,WF02_GREAT_WEAPON,Great Weapons,VANGUARD,Vanguard Pattern,RARE,Higher offense and first-engagement momentum; may refund 1 AP once per battle.,Reduced Guard and recovery.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
MOD_WF02_GREAT_WEAPON_WARDEN,WF02_GREAT_WEAPON,Great Weapons,WARDEN,Warden Pattern,RARE,"Protection, interception, Cohesion, and defensive Forecast weighting.",Reduced speed and personal damage.,PLAYER_BAND_PLUS_1_CAPPED_EPIC,False,Tower/boss/skill-use/Forge/code
