itemId,label,rarity,preparationSlot,validModes,effect,drawbackOrCost,naturalAcquisition,codeOnly
PREP_FORTUNE_LANTERN,Fortune Lantern,COMMON,SUPPORT,Story Expedition / Abyss,Reveal every connected unrevealed room once before choosing a route.,Consumed on use.,Room chest; Scout Lodge; early Tower milestone,False
PREP_FIELD_HOSPITAL_KIT,Field Hospital Kit,COMMON,SUPPORT,All Expeditions / Tower,Gain one emergency recovery use and remove one temporary expedition debuff.,Uses supplies when activated.,Infirmary; rescue rewards; Tower floor 5,False
PREP_GILDED_ROUTE_MAP,Gilded Route Map,UNCOMMON,ROUTE,Story Expedition / Abyss,Add two reachable treasure rooms to the committed board.,Begin with +1 Threat.,Map room; Scout Lodge; chapter completion,False
PREP_HIDDEN_DOOR_CHALK,Hidden-Door Chalk,UNCOMMON,ROUTE,Story Expedition / Abyss,Guarantee one reachable Secret Room.,Secret may contain a hazard or elite guard.,Exploration skill milestone; Archive; chest,False
PREP_FORGE_COMMISSION,Forge Commission,UNCOMMON,ROUTE,All Expeditions / Tower,Choose one weapon or armor family; found equipment is more likely to match it.,Some enemies also gain improved equipment.,Forge level reward; weapon-use milestone,False
PREP_LUCKY_CACHE_KEY,Lucky Cache Key,UNCOMMON,ROUTE,All Expeditions / Tower,"Upgrade one revealed chest by one rarity tier, capped at Epic.",Must be used before opening.,Chest reward; Market; Tower elite,False
PREP_BLOOD_IRON_WRIT,Blood-Iron Challenge Writ,RARE,CHALLENGE,All Expeditions / Tower,"Enemies gain better formations and Arts; XP, materials, and high-rarity loot increase.",Enemy power and coordination increase.,Contract House; boss reward; challenge clear,False
PREP_WAR_HORN_PURSUIT,War Horn of Pursuit,RARE,CHALLENGE,All Expeditions / Tower,Normal battles may add one enemy Union; boss chest is at least Rare.,More enemy actions and attrition.,Union Command; Tower floor 15; elite reward,False
PREP_CHAMPIONS_BOUNTY,Champion's Bounty,RARE,CHALLENGE,Story Expedition / Abyss,Add an optional miniboss room awarding a named Rare-or-better item.,Optional route is dangerous and increases Threat.,Contract House; boss first-clear,False
PREP_RESCUE_CHARTER,Rescue Charter,RARE,ROUTE,Story Expedition / Abyss,"Guarantee one rescue room with civic, recruit, relationship, or Turning Point rewards.",Failure may create injury or city consequence.,Civic milestone; relationship quest; city defense,False
PREP_CHRONICLE_PAGE,Chronicle Page,RARE,ROUTE,All Expeditions,Guarantee one significant character event capable of creating a Turning Point.,"Outcome may include a scar, obligation, or complication.",Archive; personal quest; relationship milestone,False
PREP_EPIC_CACHE_MAP,Epic Cache Map,EPIC,ROUTE,Story Expedition / Abyss,Guarantee one reachable guarded Epic Chest.,"Elite encounter, severe hazard, or both.",Chapter boss; Tower floor 50; code giveaway,False
PREP_CURSED_STANDARD,Cursed Standard,EPIC,CHALLENGE,All Expeditions / Tower,Mission boss gains an additional phase; reward improves by one tier.,Boss power and special mechanics increase.,Rare boss drop; high Tower checkpoint,False
PREP_RECALL_BEACON,Recall Beacon,RARE,SUPPORT,Endless Tower,"On defeat, retain all unsecured Tower rewards and extract safely.",Consumed automatically on defeat.,Tower floor 20; Workshop; code giveaway,False
PREP_TOWER_SCOUT_LENS,Tower Scout Lens,RARE,SUPPORT,Endless Tower,Preview the next three floor modifiers before choosing to continue.,Does not reveal exact enemy actions.,Scout Lodge; Tower floor 10,False
PREP_BOSS_CACHE_SEAL,Boss Cache Seal,EPIC,CHALLENGE,All Expeditions / Tower,Upgrade the next boss cache by one tier.,Boss gains +10% power and one enhanced behavior.,Boss first-clear; Tower floor 75,False
PREP_ART_ECHO_PRISM,Art Echo Prism,EPIC,SUPPORT,All Expeditions / Tower,Select one Art tree; double meaningful-use mastery gain for the next three battles.,Only meaningful legal use counts; no free mastery.,Full Art branch mastery; Archive; Tower floor 40,False
